hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,bookingID
"Courtyard by Marriott Toulouse Airport Toulouse, France",1,92,2017,September,40,30,0,1,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,170.0,0,0,Canceled,2017-08-21,2946
"W London – Leicester Square London, United Kingdom",1,21,2018,August,36,29,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,140.0,0,1,Canceled,2018-08-14,2947
"Tamarind, Barbados Barbados",1,244,2018,October,45,30,2,3,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,85.85,0,0,Canceled,2018-03-01,2948
"Sheraton Grand Rio Hotel & Resort Rio de Janeiro, Brazil",0,39,2018,December,53,26,1,3,2,0.0,0,BB,CN,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,241.0,,0,Transient,57.75,0,1,Check-Out,2018-12-30,2949
"The House, Barbados Barbados",0,84,2017,November,48,27,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,64.0,0,1,Check-Out,2017-11-30,2950
"Newark Liberty International Airport Courtyard Newark, NJ",0,13,2018,May,20,8,2,0,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.0,0,2,Check-Out,2018-05-10,2951
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",0,16,2018,April,17,17,2,0,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,8.0,,0,Transient,101.0,0,2,Check-Out,2018-04-19,2952
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,132,2019,May,22,28,2,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,28.0,,0,Transient,99.0,0,0,No-Show,2019-05-28,2953
"San Diego Sorrento Valley Courtyard San Diego, CA",1,141,2019,May,21,23,0,2,4,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,8.0,,0,Transient,295.0,0,2,Canceled,2019-04-22,2954
"The House, Barbados Barbados",1,14,2019,July,27,5,1,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,128.0,0,0,Canceled,2019-06-21,2955
"Las Vegas Marriott Las Vegas, NV ",0,1,2019,February,8,23,0,1,1,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.0,0,2,Check-Out,2019-02-24,2956
"Fort Worth University Drive Courtyard Fort Worth, TX",0,38,2018,June,24,9,0,2,2,0.0,0,HB,ARG,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,7.0,,0,Transient,141.68,0,1,Check-Out,2018-06-11,2957
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",1,130,2019,April,16,21,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,286.0,,0,Transient,95.0,0,0,Canceled,2018-12-12,2958
"Chicago O'Hare Courtyard Des Plaines, IL",0,5,2018,November,47,19,2,1,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,9.0,,0,Transient,107.67,0,2,Check-Out,2018-11-22,2959
"Treasure Beach, Barbados Barbados",0,32,2018,December,52,19,3,5,2,0.0,0,BB,NLD,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,314.0,,0,Transient,50.15,0,0,Check-Out,2018-12-27,2960
"Chicago O'Hare Courtyard Des Plaines, IL",1,198,2018,October,42,15,2,5,2,0.0,0,BB,AUT,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240.0,,0,Transient-Party,60.83,0,0,Canceled,2018-08-02,2961
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",1,29,2019,June,26,26,1,2,2,2.0,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,7.0,,0,Transient,226.84,0,1,Canceled,2019-05-28,2962
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,12,2018,September,38,11,1,0,1,0.0,0,BB,CHN,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,295.0,,0,Transient-Party,85.0,0,1,Check-Out,2018-09-12,2963
"The Ritz-Carlton, Berlin Berlin, Germany",0,12,2018,August,32,2,0,1,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient,209.0,0,0,Check-Out,2018-08-03,2964
"Fort Worth University Drive Courtyard Fort Worth, TX",0,37,2018,August,33,11,0,2,3,0.0,0,HB,FRA,Direct,Direct,0,0,0,F,F,2,No Deposit,250.0,,0,Transient,327.6,0,0,Check-Out,2018-08-13,2965
"W New York – Times Square New York, NY",0,377,2018,October,42,14,0,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,6.0,,0,Transient-Party,115.0,0,1,Check-Out,2018-10-16,2966
"W New York – Times Square New York, NY",1,163,2018,June,24,5,2,2,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,171.0,,0,Transient,100.0,0,0,Canceled,2018-01-26,2967
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,189,2018,August,35,25,2,5,2,0.0,0,BB,IRL,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,243.0,,0,Contract,79.8,0,0,Check-Out,2018-09-01,2968
"Protea Hotel by Marriott Midrand Midrand, South Africa",1,566,2019,January,4,26,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2017-10-21,2969
"Turtle Beach, Barbados Barbados",0,189,2018,October,44,23,1,0,2,0.0,0,SC,NZL,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,85.5,0,2,Check-Out,2018-10-24,2970
"Heidelberg Marriott Hotel Heidelberg, Germany",1,269,2017,October,43,22,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,A,A,0,No Deposit,7.0,,0,Transient,65.29,0,1,Canceled,2017-06-15,2971
"Colony Club, Barbados Barbados",0,418,2018,September,40,26,1,2,2,0.0,0,HB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,132.0,,223,Transient,107.0,0,0,Check-Out,2018-09-29,2972
"Chicago O'Hare Courtyard Des Plaines, IL",0,29,2018,July,31,28,0,1,2,0.0,0,SC,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,148.0,0,1,Check-Out,2018-07-29,2973
"Sheraton Diana Majestic, Milan Milan, Italy",1,148,2017,October,43,24,0,1,1,0.0,0,BB,PRT,Groups,Direct,0,0,0,A,A,0,Non Refund,,,0,Transient,39.0,0,0,Canceled,2017-06-26,2974
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",0,0,2019,February,6,6,1,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,117.0,0,0,Check-Out,2019-02-08,2975
"Treasure Beach, Barbados Barbados",0,111,2019,April,14,3,1,1,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,0,Transient-Party,95.0,0,1,Check-Out,2019-04-05,2976
"The St. Regis Osaka Osaka, Japan",0,3,2018,April,15,9,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,45.0,0,0,Check-Out,2018-04-10,2977
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",0,227,2017,September,38,17,4,10,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,2.0,,0,Contract,36.13,0,0,Check-Out,2017-10-01,2978
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,288,2018,December,53,25,2,4,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,66.58,0,0,Canceled,2018-04-08,2979
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",1,162,2019,May,18,6,2,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,3.0,,0,Transient,80.0,0,0,Canceled,2018-12-09,2980
"Sacramento Airport Natomas Courtyard Sacramento, CA",1,39,2018,August,35,26,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,165.06,0,1,Canceled,2018-08-13,2981
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",0,176,2018,October,41,5,0,4,2,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,1,No Deposit,250.0,,0,Transient,71.1,1,1,Check-Out,2018-10-09,2982
"W London – Leicester Square London, United Kingdom",0,1,2018,March,10,2,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,1,0,11,A,A,0,No Deposit,,40.0,0,Transient,65.0,0,1,Check-Out,2018-03-03,2983
"Tamarind, Barbados Barbados",0,69,2019,August,33,17,0,3,2,2.0,0,HB,ESP,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,241.0,,0,Transient,320.7,0,1,Check-Out,2019-08-20,2984
"Sheraton Diana Majestic, Milan Milan, Italy",1,41,2019,March,10,11,1,1,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,118.0,0,0,Canceled,2019-02-23,2985
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",1,28,2017,August,32,3,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2017-07-31,2986
"Residence Inn Las Vegas Convention Center Las Vegas, NV ",1,184,2018,August,34,17,0,1,1,0.0,0,HB,DEU,Online TA,TA/TO,0,0,0,A,A,5,No Deposit,9.0,,0,Transient-Party,82.12,0,2,Canceled,2018-07-18,2987
"The St. Regis Osaka Osaka, Japan",0,39,2017,November,46,10,0,5,2,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,2,No Deposit,185.0,281.0,0,Transient-Party,43.2,0,0,Check-Out,2017-11-15,2988
"Leipzig Marriott Hotel Leipzig, Germany",1,150,2019,June,24,17,2,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,Non Refund,,,0,Transient,120.0,0,0,Canceled,2019-01-18,2989
"W London – Leicester Square London, United Kingdom",0,49,2018,April,15,8,1,2,2,0.0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241.0,,0,Transient,46.66,0,1,Check-Out,2018-04-11,2990
"The House, Barbados Barbados",0,18,2017,September,38,15,0,1,2,0.0,0,SC,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,13.0,,0,Contract,76.8,0,0,Check-Out,2017-09-16,2991
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,141,2019,June,24,16,1,2,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,27.0,,0,Transient,89.1,0,0,Check-Out,2019-06-19,2992
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",1,264,2018,October,44,28,1,2,2,0.0,0,BB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,96.3,0,0,Canceled,2018-04-18,2993
"Orlando Airport Courtyard Orlando, FL",0,2,2018,January,4,22,0,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,98.0,1,1,Check-Out,2018-01-24,2994
"Courtyard by Marriott Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,19,2017,October,41,6,0,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,1,0,A,A,0,Non Refund,82.0,,0,Transient,90.0,0,0,Canceled,2017-09-17,2995
"Indianapolis Airport Courtyard Indianapolis, IN",0,40,2018,October,44,24,1,2,2,0.0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,28.0,,0,Transient,85.0,0,0,Check-Out,2018-10-27,2996
"Turtle Beach, Barbados Barbados",0,8,2018,June,26,23,0,2,2,3.0,0,BB,USA,Direct,Direct,0,0,0,H,H,0,No Deposit,250.0,,0,Transient,186.0,1,0,Check-Out,2018-06-25,2997
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,91,2018,April,17,20,0,1,2,0.0,0,BB,DEU,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient-Party,59.0,0,1,Check-Out,2018-04-21,2998
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,11,2017,December,49,5,2,1,2,0.0,0,FB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,No Deposit,,,0,Transient-Party,64.0,0,0,Canceled,2017-11-27,2999
"Sacramento Airport Natomas Courtyard Sacramento, CA",0,66,2018,September,37,4,2,3,2,1.0,1,BB,FIN,Online TA,TA/TO,0,0,0,F,F,2,No Deposit,9.0,,0,Transient,177.66,0,3,Check-Out,2018-09-09,3000
"Chicago O'Hare Courtyard Des Plaines, IL",1,153,2017,August,32,3,1,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient,60.0,0,0,Canceled,2017-06-15,3001
"San Diego Sorrento Valley Courtyard San Diego, CA",0,55,2019,March,12,22,1,4,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,100.3,0,2,Check-Out,2019-03-27,3002
"Newark Liberty International Airport Courtyard Newark, NJ",1,338,2018,October,41,7,1,2,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,12.0,,68,Transient-Party,80.0,0,0,Canceled,2018-06-20,3003
"Courtyard by Marriott Paris Gare de Lyon Paris, France",0,89,2018,September,39,20,0,3,3,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,9.0,,0,Transient,168.3,0,1,Check-Out,2018-09-23,3004
"Protea Hotel Fire & Ice! by Marriott Johannesburg Melrose Arch Johannesburg, South Africa",1,191,2018,August,35,23,0,2,2,1.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,9.0,,0,Transient,130.5,0,1,Canceled,2018-05-23,3005
"Baltimore BWI Airport Courtyard Linthicum, MD",0,7,2018,December,52,19,1,0,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,1,0,1,A,A,0,No Deposit,15.0,,0,Transient,68.8,0,1,Check-Out,2018-12-20,3006
"Marriott Puerto Vallarta Resort & Spa Puerto Vallarta, Mexico",0,1,2018,March,10,1,0,1,1,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,43.0,0,1,Check-Out,2018-03-02,3007
"The Westin Peachtree Plaza, Atlanta Atlanta, GA ",0,268,2018,April,15,8,2,3,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,21.0,,224,Transient-Party,78.0,0,0,Check-Out,2018-04-13,3008
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,207,2019,February,7,13,1,3,1,0.0,0,HB,GBR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,152.0,,113,Transient-Party,44.0,0,0,Check-Out,2019-02-17,3009
"Sheraton Lima Hotel & Convention Center Lima, Peru",1,10,2019,July,30,29,0,1,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,85.0,,0,Transient,89.0,0,0,No-Show,2019-07-29,3010
"W London – Leicester Square London, United Kingdom",1,7,2017,October,41,7,0,3,2,0.0,0,BB,PRT,Online TA,TA/TO,0,1,0,D,D,0,No Deposit,9.0,,0,Contract,174.0,0,0,Canceled,2017-10-01,3011
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,124,2018,May,19,5,1,3,1,0.0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,99.45,0,0,Check-Out,2018-05-09,3012
"Protea Hotel by Marriott O.R. Tambo Airport Johannesburg, South Africa",1,86,2019,March,10,9,0,3,2,0.0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,67.0,,0,Transient,46.0,0,0,Canceled,2018-12-13,3013
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",1,260,2017,July,27,4,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,1.0,,0,Transient-Party,62.0,0,0,Canceled,2017-06-16,3014
"The Ritz-Carlton, Berlin Berlin, Germany",0,100,2017,October,44,31,1,1,1,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2017-11-02,3015
"W London – Leicester Square London, United Kingdom",0,52,2019,February,7,13,1,1,1,0.0,0,SC,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,1,Check-Out,2019-02-15,3016
"Mt. Laurel Courtyard Mt. Laurel, NJ",1,78,2018,April,15,8,0,2,2,0.0,0,SC,NLD,Online TA,TA/TO,0,0,0,B,B,2,No Deposit,9.0,,0,Transient,85.5,0,0,Canceled,2018-03-31,3017
"Greensboro Courtyard Greensboro, NC",0,204,2019,August,31,3,2,4,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240.0,,0,Transient,165.63,0,1,Check-Out,2019-08-09,3018
"Turtle Beach, Barbados Barbados",0,185,2019,July,30,27,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,177.0,,0,Transient,112.7,0,0,Check-Out,2019-08-03,3019
"African Pride Melrose Arch, Autograph Collection Johannesburg, South Africa",1,178,2018,July,30,22,1,2,2,0.0,0,SC,MAC,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,88.5,0,0,Canceled,2018-02-12,3020
"San Diego Sorrento Valley Courtyard San Diego, CA",0,41,2018,December,49,1,0,3,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,89.0,,0,Transient,66.88,0,0,Check-Out,2018-12-04,3021
"Sheraton Mexico City Maria Isabel Hotel Mexico City, Mexico",1,296,2018,September,39,21,0,4,2,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,26.0,,0,Transient-Party,85.0,0,0,Canceled,2018-06-20,3022
"W New York – Union Square New York, NY",0,44,2018,January,1,2,2,1,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,98.0,0,1,Check-Out,2018-01-05,3023
"Las Vegas Marriott Las Vegas, NV ",0,37,2018,March,10,1,0,4,2,0.0,0,SC,GBR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,73.1,0,2,Check-Out,2018-03-05,3024
"Orlando International Drive/Convention Center Courtyard Orlando, FL",1,73,2018,May,23,31,0,2,2,0.0,0,SC,CHN,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,116.1,0,0,Canceled,2018-03-24,3025
"Leipzig Marriott Hotel Leipzig, Germany",1,0,2017,August,34,21,1,2,2,0.0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,124.0,0,0,Canceled,2017-08-21,3026
"W New York – Times Square New York, NY",0,118,2019,May,21,22,1,0,2,0.0,0,BB,NOR,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,251.0,,0,Transient-Party,62.0,0,0,Check-Out,2019-05-23,3027
"Orlando International Drive/Convention Center Courtyard Orlando, FL",0,140,2019,March,11,14,0,4,2,0.0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,240.0,,0,Transient-Party,42.0,0,1,Check-Out,2019-03-18,3028
"Hotel Maria Cristina, San Sebastian San Sebastian, Spain",0,6,2018,June,24,5,1,0,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,121.0,0,1,Check-Out,2018-06-06,3029
"Sheraton Diana Majestic, Milan Milan, Italy",0,131,2018,June,26,20,2,5,2,0.0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,8.0,,0,Transient,81.2,0,0,Check-Out,2018-06-27,3030
"Greensboro Courtyard Greensboro, NC",0,4,2019,July,27,3,1,1,1,0.0,0,SC,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,129.0,0,1,Check-Out,2019-07-05,3031
"Las Vegas Marriott Las Vegas, NV ",0,0,2018,July,27,1,0,1,2,1.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,9.0,,0,Transient,159.0,0,0,Check-Out,2018-07-02,3032
"Anaheim Marriott Anaheim, CA",1,79,2018,July,31,28,0,3,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,14.0,,0,Transient,120.0,0,0,Canceled,2018-05-10,3033
"Renaissance Santo Domingo Jaragua Hotel & Casino Santo Domingo, Dominican Republic",1,444,2018,December,49,1,0,3,1,0.0,0,BB,PRT,Offline TA/TO,TA/TO,0,1,0,A,A,0,Non Refund,34.0,,39,Transient,75.0,0,0,Canceled,2017-10-23,3034
"Las Vegas Marriott Las Vegas, NV ",1,61,2019,January,4,25,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,326.0,,0,Transient,80.0,0,0,Canceled,2018-11-25,3035
"The Ritz-Carlton, Tokyo Tokyo, Japan",0,79,2018,April,18,30,2,3,2,0.0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,D,0,No Deposit,28.0,,0,Transient,105.0,0,0,Check-Out,2018-05-05,3036
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",0,18,2017,September,40,27,2,0,2,0.0,0,BB,ITA,Groups,TA/TO,0,0,0,A,A,1,No Deposit,1.0,,0,Transient-Party,170.0,0,0,Check-Out,2017-09-29,3037
"Turtle Beach, Barbados Barbados",0,5,2018,August,32,3,0,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,89.0,,0,Transient,122.24,0,0,Check-Out,2018-08-06,3038
"Cape Town Marriott Hotel Crystal Towers Cape Town, South Africa",1,168,2018,April,18,28,1,3,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,257.0,,0,Transient,80.0,0,0,Canceled,2018-01-19,3039
"Protea Hotel Fire & Ice! by Marriott Cape Town Cape Town, South Africa",0,131,2017,December,52,22,2,5,1,0.0,0,HB,IRL,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,314.0,,0,Transient-Party,42.57,0,0,Check-Out,2017-12-29,3040
"Baton Rouge Acadian Centre/LSU Area Courtyard Baton Rouge, LA",1,130,2018,April,16,13,0,4,2,0.0,0,BB,PRT,Groups,TA/TO,0,1,0,A,A,0,Non Refund,29.0,,10,Transient,100.0,0,0,Canceled,2017-12-15,3041
"Sheraton Lima Hotel & Convention Center Lima, Peru",0,72,2017,July,31,29,0,2,2,0.0,0,BB,ISR,Online TA,TA/TO,0,0,0,A,D,0,No Deposit,240.0,,0,Transient,134.0,0,2,Check-Out,2017-07-31,3042
"Greensboro Courtyard Greensboro, NC",1,454,2018,October,41,6,0,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,1.0,,0,Transient,62.0,0,0,Canceled,2017-10-21,3043
"Heidelberg Marriott Hotel Heidelberg, Germany",0,15,2019,March,13,30,2,6,1,0.0,0,Undefined,PRT,Corporate,Corporate,0,0,0,A,A,1,No Deposit,,523.0,0,Transient-Party,90.0,0,0,Check-Out,2019-04-07,3044
"Greensboro Courtyard Greensboro, NC",0,19,2019,June,24,11,2,0,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,C,0,No Deposit,9.0,,0,Transient,109.0,0,1,Check-Out,2019-06-13,3045
"Spokane Downtown at the Convention Center Courtyard Spokane, WA",0,7,2017,September,38,19,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,126.0,0,1,Check-Out,2017-09-23,3046
"Courtyard Las Vegas Convention Center Las Vegas, NV ",0,0,2018,March,11,8,0,1,1,0.0,0,BB,PRT,Direct,Direct,0,0,0,A,D,0,No Deposit,,,0,Transient,40.0,0,0,Check-Out,2018-03-09,3047
"W New York – Times Square New York, NY",1,40,2017,August,33,15,2,2,2,0.0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,62.0,0,0,Canceled,2017-08-06,3048
"Courtyard by Marriott Toulouse Airport Toulouse, France",0,72,2017,October,44,28,0,3,2,0.0,0,BB,ISR,Groups,TA/TO,0,0,0,A,A,0,No Deposit,37.0,,58,Transient-Party,85.67,0,1,Check-Out,2017-10-31,3049
"Protea Hotel Fire & Ice! by Marriott Cape Town Cape Town, South Africa",0,0,2019,January,5,29,1,0,2,0.0,0,BB,ITA,Direct,Direct,0,0,0,A,A,0,No Deposit,,,0,Transient-Party,45.0,0,0,Check-Out,2019-01-30,3050
"Residence Inn Rio de Janeiro Barra da Tijuca Barra da Tijuca, Brazil",1,16,2017,November,45,4,0,2,1,0.0,0,BB,PRT,Corporate,Corporate,0,1,0,A,A,0,Non Refund,,122.0,0,Transient,95.0,0,0,Canceled,2017-10-28,3051
"Tamarind, Barbados Barbados",0,53,2017,August,35,24,1,1,1,0.0,0,BB,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,1.0,,0,Transient-Party,0.0,0,0,Check-Out,2017-08-26,3052
"Grosvenor House, A JW Marriott Hotel London, United Kingdom",1,38,2019,January,2,14,0,1,1,0.0,0,BB,PRT,Corporate,Corporate,0,0,0,A,A,0,Non Refund,,67.0,0,Transient,75.0,0,0,Canceled,2018-12-07,3053
"Courtyard by Marriott Aberdeen Airport Aberdeen, United Kingdom",1,339,2018,September,40,26,3,6,2,0.0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,15.0,,0,Transient,80.0,0,0,Canceled,2018-01-22,3054
"Crystal Cove, Barbados Barbados",0,111,2018,April,15,4,1,3,2,0.0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient-Party,82.45,0,1,Check-Out,2018-04-08,3055
"Courtyard by Marriott Paris Gare de Lyon Paris, France",1,180,2019,February,8,25,1,1,2,0.0,0,SC,BRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,9.0,,0,Transient,79.2,0,0,Canceled,2018-08-29,3056
"Protea Hotel by Marriott Cape Town Sea Point Cape Town, South Africa",1,28,2018,June,24,10,4,9,1,0.0,0,BB,AGO,Direct,Direct,0,0,0,E,E,0,No Deposit,14.0,,0,Transient,172.15,0,0,Canceled,2018-05-13,3057
